taxonrank	standard	vetted
(DUMÉRIL & BIBRON, 1836)		1
(MERREM, 1820)		1
ANIMALIA	kingdom	1
BICOLOR		1
CLASE	class	1
CLASS	class	1
ESPECIE	species	1
ESPECIES	species	1
FAMILIA	family	1
FAMILY	family	1
FILO	phylum	1
GENERO	genus	1
GÉNERO	genus	1
GENUS	genus	1
GIGAS		1
HYBRID SP	species	1
HYBRID SPECIES	species	1
HYBRID SUBSPECIES	subspecies	1
INDICUS		1
INFORMAL	informal	1
INFRACLASS	infraclass	1
INFRAFRENATA		1
INFRAORDER	infraorder	1
KINGDOM	kingdom	1
ORDEN	order	1
ORDER	order	1
PAPUENSIS		1
PHYLUM	phylum	1
REINO	kingdom	1
SPECIES	species	1
SUBCLASS	subclass	1
SUBESPECIE	subspecies	1
SUBFAMILY	subfamily	1
SUBGENUS	subgenus	1
SUBKINGDOM	subkingdom	1
SUBORDER	suborder	1
SUBPHYLUM	subphylum	1
SUBSPECIES	subspecies	1
SUBTRIBE	subtribe	1
SUPERCLASS	superclass	1
SUPERFAMILY	superfamily	1
SUPERORDER	superorder	1
SUPERPHYLUM	superphylum	1
TRANK		1
TRIBE	tribe	1
UNDEFINABLE		1
UNRANKED CLADE	unranked clade	1
UNSPECIFIED		1
VAR.	variety	1
