license	standard	vetted
CC0	CC0	1
CC-BY	CC-BY	1
CC-BY-NC	CC-BY-NC	1
HTTP://CREATIVECOMMONS.ORG/PUBLICDOMAIN/ZERO/1.0	CC0	1
HTTP://CREATIVECOMMONS.ORG/PUBLICDOMAIN/ZERO/1.0/	CC0	1
HTTP://CREATIVECOMMONS.ORG/PUBLICDOMAIN/ZERO/1.0/LEGALCODE	CC0	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY/4.0	CC-BY	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY/4.0/	CC-BY	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY/4.0/LEGALCODE	CC-BY	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY-NC/4.0	CC-BY-NC	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY-NC/4.0/	CC-BY-NC	1
HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY-NC/4.0/LEGALCODE	CC-BY-NC	1
